video_id,views,dislikes,likes,comment_count
EQvdKS-QX_E,981884,368,21664,1967
u2Ba65YELoo,88889,9,25599,3619
XR2ezV6pusk,321632,1586,11313,836
LjlFwNunDZ0,3542,4,257,14
gJT0N7y89f4,42563,32,190,32
wIn3u1SrYqc,159024,251,10213,997
YyOcY4s05cw,289277,235,2909,1109
EA5Tn5Gw_8s,62838,85,2236,161
HUY2U8L8jPY,81729,57,392,172
pJ33or6ls1k,490359,1542,24315,3968
8EkIKtHQz5Q,552594,563,7768,2171
M2xqMZ6b85w,309971,206,11844,792
_0QWwUA_xuM,76109,91,2040,148
1KVBFtSuCm0,601175,59,430,48
RSMcVgTCJd0,58069,52,301,6
WZQtdQbS8qw,4834,2,28,0
TmAJK3BwCig,1984,3,223,67
5raTcYQohbA,282617,54,2562,120
clXOslwjPrc,253029,185,29929,3371
DNY9J-J9Wik,37072,36,3323,236
-L4RYm9Tq7I,182121,160,4982,1968
J3OWSlZPfMA,103699,28,772,108
fgxpc_bTvMk,514914,158,2804,329
QzY_Txpj5vg,9649,7,66,29
1ww_uI3pdeI,8239,22,855,56
pE2HlsFx_uQ,354338,387,2092,317
zBvxvP3q1IM,220242,409,1014,1419
3hj-Feur32E,4120,9,286,222
7R935fuzUgU,46019,37,191,68
I_uKYGHMq3U,7689,94,161,127
9mNNbet-PuQ,43984,42,1592,162
78UWaqohWJg,369077,2873,35504,1623
cjFFbJzy7i4,14623,20,71,47
7BTQ-vp5JC4,321847,481,20676,1288
PPNheCc_qcY,200786,158,635,738
_VvPxOxnQ5o,34141,28,980,45
liV2qbadnGQ,25723,33,789,380
orPx6cm7dHA,71753,35,667,31
wy9JRkTxP4I,9216,3,82,12
UIT65DbCGnw,51116,144,2964,412
IBHx9uwCy3w,1430059,4377,35537,10255
0fyn3gzW8kA,273099,429,9090,828
tGq0k7T5Iko,59730,26,974,138
D3uvvA7dyoI,94432,37,4057,293
9BVuGwHJaI4,8551,5,17,10
MeLgxaBU-fY,429983,105,1347,696
87T87UPmVfM,583829,547,10133,821
l09az-0IdaY,53256,117,3795,411
s0LXmrJzGOw,13422,5,912,107
X_8fe8zDtWU,9010,10,93,12
vhzYwi4Sl3A,2195008,3458,104439,10325
6oGKnE46GIU,79283,19,8703,561
JeSRjhXA6sw,471499,562,3182,421
_feHI7ma2JU,2257,4,219,53
rwLr18p6wDM,306578,340,2854,1230
ASXueoskteY,57943,1256,5870,64
0TyKlvpAVQU,51211,187,1725,294
4EBEHQ9WYLQ,64777,290,9794,964
KXzxpyu57bY,52050,36,142,16
4eJ3Dz2alUA,295426,144,2174,277
hd6kzocWD7k,65745,160,6247,741
uQ_WMlkg8sI,10610,6,1981,237
NmhnBSv-sm4,57571,8,21,10
vsMXgxaFjU8,263719,347,2237,479
bsgqSDfO9Ng,24386,31,96,25
ZR-MfZzNFNs,412215,690,64594,2202
pZoADp-8Suw,23777,8,69,2
MkfzJVvk36I,296773,268,20697,1016
3F_ctMet7q8,67581,135,8924,473
bc_0GijzJ4k,466235,351,3271,652
v65IFTxD32g,354816,138,10724,2012
Yy4Jvbnolg8,156339,42,2579,396
sGuHRXyHEvo,47266,15,99,31
EmXiC5h7E1A,46453,63,3412,635
5f7gO5pKmnI,592395,685,23777,2535
TOdGYZ20oSc,514711,509,38431,3362
7iPBjdqHcUk,606825,193,5120,13
vMQUvtUhXfM,182421,158,21628,2744
_72fqgEevOo,577212,2837,7456,1700
HAK94Es1Ey0,19691,4,91,0
-XIThvSAGHI,276788,274,16572,659
HxxJbLyNwqc,2251,0,0,127
fRakmrQDRT8,7539,0,64,5
LoFSgfMo1ao,106425,91,10416,1999
FhrS86odbxg,4014544,3085,55491,1579
-m3Wzfjc6hA,210334,181,995,72
5OD796_pNN4,4013,4,20,3
YJAvjtSaZgQ,79291,100,862,134
eWtmgeQKMDc,140568,156,6329,719
tfNsvlggQ90,4151,31,187,148
SaYzpQk8r1w,75855,118,764,133
LjjnuKB1QBU,228870,141,902,180
OYcv406J_J4,611341,2291,13654,2463
Z25jDxWVIEc,258926,1278,170,177
td9Qv3qj4VE,351121,410,52198,5672
T2WB3DGJsz8,3509968,2939,40116,5087
iWvocfAQHpI,86440,63,821,237
KcWXKmnZZVo,9171288,4021,148441,8391
GJ5XBYIwNgI,431084,521,28386,1309
Jozrsc1YHws,49218,25,159,68
b9TT4Gh7zN8,152455,570,9497,2072
QgMTPO4Xx-4,58169,430,3836,851
CqQuQRArQrA,4161,7,269,53
_CFJ1u-DIBc,146505,351,3208,641
DgYmXwOO4JI,92815,234,4587,578
vnZR-V7SIhk,86878,86,675,52
h-K69eokR9E,313914,305,1380,877
GDyR8MX5OJU,4575,0,0,1
hfYSx4zUBnc,17953,31,107,27
gZrC2iGh3rY,3404160,1867,9425,1794
ZMXVAwVVvCc,6243,22,110,91
fdYoNpJ0S-c,182125,160,811,31
dA4s8xXSrJg,23028,25,1110,214
Yb6FFDhojC0,93783,27,2581,592
dgJ6SM-qQnQ,101452,33,482,55
Va810AFdhNg,10332,45,729,104
E30IR832Wr8,10150,24,61,5
GKXKQvCEEWk,221197,115,3932,890
r8FQ5wUYm9c,2608451,1308,89524,5158
fqwsaNAQyZY,190813,210,1854,1084
3mVfPewgJsI,446220,322,4117,663
mnDwhOQW5iI,2816711,1614,14054,3785
eIEB9vdpgpQ,1222437,465,9312,0
rBUjOY12gJA,226278,68,6918,166
ce3sq3rsZno,6721,2,46,1
rMCCmnOZ07Y,61836,212,2947,632
KXtT9nYaHqM,46834,12,955,93
IpinzeTlnqU,140931,408,11081,1992
p6nm-CTDvCQ,40909,41,3747,447
1bx7uLcBITs,131250,79,1144,227
4FYzsJIzOSg,105363,110,660,78
C3MhNpO8gjo,20698,89,231,37
7BakcCZemXs,121354,40,1509,602
YzDF2IRSNV8,143183,75,5039,970
8RsDxpyUa_U,836483,1646,37279,3056
Nj2zZ7XGbVg,185533,130,2981,0
UWvWT2G6IgM,237769,122,360,81
_ckccU8ojRg,1527599,615,21201,1398
e2R0NSKtVA0,1838296,841,28416,1951
SqSucLgRhuY,1726,0,24,2
3YMQxmNWVkI,107307,30,4518,589
RGBaedtAIJM,4541,17,126,35
M3_D9-Xk1hE,182318,1130,9403,2011
5KKszaZ4uOw,298119,244,14515,1844
mC4E6DIjnQM,206896,138,1470,168
f9LtXgQ0g10,69890,68,6525,542
DVpfeSt4o5U,152466,107,1909,342
GwaWJs50Ed4,1786,0,313,22
vQ2zDquys5Q,118996,109,8437,382
RKjYebB-tA0,232812,7400,19728,6139
fb6cylDz7Ds,11030,12,55,0
KWaEFH_kXH8,10929,12,235,110
t7Fa1GUf-LE,249897,146,9070,463
JcC5VGOx8I8,3265672,708,113760,2344
LDnyiPVNm9c,142811,60,14424,318
xBFCAlltiZg,35642,20,138,16
tygNmNksVRk,12819,29,944,102
grZlYXoUm4o,200212,293,20562,1094
c6jIaVXvCm4,87158,174,511,91
obRG-2jurz0,357429,619,13341,1984
yDFyw9EalAA,182127,230,5281,719
vs8GIP3jxJ4,47898,96,57,127
RVRUrCil8SY,5594,3,125,25
PjQvOISY2ps,9210,8,27,14
D2GEiU56Ku8,1385890,1560,63160,3267
KisKKE6zIk0,1148451,957,26724,7186
S4iT_CS6wFc,347039,63,3992,193
uthHP6FoBmk,4221265,12821,150661,15838
KqFQUdMIzqs,610561,436,37801,1889
u_gnu1XPNpA,12570,9,47,0
zFqmhT4Cr7c,360994,500,14236,1311
CwVR9bDxx9I,14718,21,300,196
M9VqmPX8m2k,292413,333,1244,320
oqj0oh4WRJg,3897,0,76,0
eW34bi2YZ6s,23536,36,58,202
BV7QOSc8hYk,714484,231,5516,238
__0SnIPtwFc,58460,81,4202,330
nNZGokV1Fuo,36451,54,158,124
VKagyQcOT00,131514,182,8604,1243
094ndbmijKg,742607,900,51339,2872
ctNSgJ5608U,66652,41,7515,674
VeDIOvlN2Gg,164746,87,5464,573
kzmFebzvqqs,50673,63,169,16
EyxKmtXItsg,77249,163,4018,698
EXAGM-8Xbt0,14692,7,90,17
sjvvAtFaLPA,218091,242,934,38
rj33J9Xe3eI,4792,15,362,71
fm3SX7FyKCM,12009,4,119,3
xgKyh00g6y8,11851,9,139,64
FafgVvO_2Yo,14987,8,516,149
5ZVyvY9dySg,747093,282,6728,725
cDZfh5IjGv8,1084820,1359,38993,6852
bVRDsA6Q1Mo,1163186,539,39603,5138
